item,category,subcategory,variants,pairings,portion,packing_notes,allergens,diet_tags,default_weekly_limit
Drinking yogurt (plain),Dairy,Yogurt,No added sugar,Fruit,1 small bottle,Keep cold,Dairy,"Vegetarian, GF",
Kefir,Dairy,Yogurt,Plain,Fruit,1 small bottle,Keep cold,Dairy,"Vegetarian, GF",
Avocado mash,Spreads,Veg,Lemon + pinch salt,"Bread, crackers",2–3 tbsp,Pack separate to avoid browning,None,"Vegan, GF",
Cream cheese,Spreads,Dairy,Plain,"Bagel, crackers",1–2 tbsp,Small cup + knife,Dairy,Vegetarian,
Honey (drizzle),Spreads,Sweetener,,"Yogurt, bread + butter",1 tsp,Leak‑proof mini,None,"Vegetarian, GF",1–2x/week
Date spread (silan),Spreads,Sweetener,100% dates,bread,1 tsp,Leak‑proof mini,None,"Vegan, GF",1–2x/week
Butter,Spreads,Fat,,Bread,Thin spread,Room temp portion,Dairy,"Vegetarian, GF",
Bread + Yellow cheese + Tomato,Combos,Sandwich,Whole wheat bread,Cucumber sticks,2 halves,Pat tomato dry,"Gluten, Dairy",Vegetarian,
Tortilla + Turkey + Lettuce,Combos,Wrap,Whole wheat,Bell pepper strips,1 small wrap,Tight roll; cut pinwheels,Gluten,Meat,2–3x/week
Bagel + Cream cheese,Combos,Sandwich,Mini bagel,Grapes,1 mini,Pre‑slice,"Gluten, Dairy",Vegetarian,
Bread + Avocado + Egg,Combos,Sandwich,,Carrot sticks,2 halves,Keep egg dry,"Gluten, Egg",Vegetarian,
Pita + Labneh + Olive,Combos,Sandwich,,Cucumber sticks,1/2–1 pita,Drain olives,"Gluten, Dairy",Vegetarian,
Plain pretzels,Snacks,Baked,,Cheese stick,Small handful,Dry container,Gluten,Vegetarian,
Air‑popped popcorn,Snacks,Baked,Light salt,Fruit,1–1.5 cups,Paper bag or box,None,"Vegan, GF",
Granola bar (low sugar),Snacks,Packaged,Oats + nuts/seeds,Yogurt,1 bar,Check nuts policy,"Oats (gluten may), Nuts",Vegetarian,1–2x/week
Rice crackers (GF),Snacks,Crackers,Plain,Cheese,6–8,Keep dry,None,"Vegan, GF",
Water,Drinks,,Still,All,Small bottle,Always include,None,"Vegan, GF",
Milk box,Drinks,Dairy,Plain,Sandwich,200 ml,Keep cold,Dairy,"Vegetarian, GF",
100% fruit juice (small),Drinks,Juice,No added sugar,Snacks,150 ml,Occasional treat,None,"Vegan, GF",1–2x/week
Mini homemade muffin,Treats,Baked,Banana/oat,Milk,1 mini,Paper liner,"Gluten, Egg, Dairy (vary)",Vegetarian,1–2x/week
Dark chocolate square (70%),Treats,Chocolate,,Fruit,1 square,Warm weather caution,May contain traces,"Vegetarian, GF",1x/week
Pita + olive oil + sumac (no sesame),Combos,Sandwich,Whole wheat pita,"Cucumber sticks, cherry tomatoes",1/2–1 pita,Brush lightly with oil; keep napkin to absorb moisture,"Gluten, Dairy: None",Vegan,
